Rank,Title,Studio,Lifetime Gross /Theaters,Lifetime Gross /Theaters2,Opening /Theaters,Opening /Theaters2,DATE
68,The Green Hornet,Sony,98780042,3584,33526876,3584,14-01-2011
69,Unbreakable,BV,95011339,2708,30330771,2708,22-11-2000
70,The Mask of Zorro,Sony,94095523,2515,22525855,2515,17-07-1998
71,Power Rangers (2017),LGF,85364450,3693,40300288,3693,24-03-2017
72,Blade II,NL,82348319,2707,32528016,2707,22-03-2002
73,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,82051601,4071,35316382,4071,03-06-2016
74,Teenage Mutant Ninja Turtles II,NL,78656813,2868,20030473,2868,22-03-1991
75,Hellboy II: The Golden Army,Uni.,75986503,3212,34539115,3204,11-07-2008
76,Blade,NL,70087718,2389,17073856,2322,21-08-1998
1,Black Panther,BV,699985026,4084,202003951,4020,16-02-2018
2,Avengers: Infinity War,BV,677888833,4474,257698183,4474,27-04-2018
77,Chronicle (2012),Fox,64575175,2908,22004098,2907,03-02-2012
78,Sky High,BV,63946815,2912,14631784,2905,29-07-2005
3,Marvel's The Avengers,BV,623357910,4349,207438708,4349,04-05-2012
79,Superman III,WB,59950623,1763,13352357,1759,17-06-1983
80,Hellboy,SonR,59623958,3043,23172440,3028,02-04-2004
4,Incredibles 2,BV,579577290,4410,182687905,4410,15-06-2018
81,Fantastic Four,Fox,56117548,4004,25685737,3995,07-08-2015
82,Spawn,NL,54870175,2604,19738749,2536,01-08-1997
5,The Dark Knight,WB,534858444,4366,158411483,4366,18-07-2008
83,Blade: Trinity,NL,52411906,2912,16061271,2912,08-12-2004
84,Ghost Rider: Spirit of Vengeance,Sony,51774002,3174,22115334,3174,17-02-2012
85,The Crow,Mira.,50693129,2119,11774332,1573,13-05-1994
86,Kick-Ass,LGF,48071303,3065,19828687,3065,16-04-2010
87,The Rocketeer,BV,46704056,1903,9600754,1616,21-06-1991
88,The Legend of Zorro,Sony,46464023,3520,16328506,3520,28-10-2005
6,Avengers: Age of Ultron,BV,459005868,4276,191271109,4276,01-05-2015
7,The Dark Knight Rises,WB,448139099,4404,160887295,4404,20-07-2012
89,Teenage Mutant Ninja Turtles III,NL,42273609,2087,12419597,2087,19-03-1993
8,Wonder Woman,WB,412563408,4165,103251471,4165,02-06-2017
9,Iron Man 3,BV,409013994,4253,174144585,4253,03-05-2013
10,Captain America: Civil War,BV,408084349,4226,179139142,4226,06-05-2016
11,Spider-Man,Sony,403706375,3876,114844116,3615,03-05-2002
90,Catwoman,WB,40202379,3117,16728411,3117,23-07-2004
12,Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,05-05-2017
91,Mighty Morphin' Power Rangers,Fox,38187431,2409,13104788,2409,30-06-1995
13,Spider-Man 2,Sony,373585825,4166,88156227,4152,30-06-2004
14,Deadpool,Fox,363070709,3856,132434639,3558,12-02-2016
92,Judge Dredd,BV,34693481,2204,12291536,2204,30-06-1995
15,Spider-Man 3,Sony,336530303,4324,151116516,4252,04-05-2007
16,Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,07-07-2017
17,Guardians of the Galaxy,BV,333176600,4088,94320883,4080,01-08-2014
18,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,25-03-2016
93,Darkman,Uni.,33878502,1833,8054860,1786,24-08-1990
94,The Punisher,Lions,33810189,2649,13834527,2649,16-04-2004
19,Suicide Squad,WB,325100054,4255,133682248,4255,05-08-2016
95,The Shadow,Uni.,32063435,1769,11713845,1677,01-07-1994
20,Iron Man,Par.,318412101,4154,98618668,4105,02-05-2008
21,Deadpool 2,Fox,318014529,4349,125507153,4349,18-05-2018
