Movie Title,movie Year,Character Name,alias
Black Panther ,2018,T'Challa,
Black Panther ,2018,Erik Killmonger,
Black Panther ,2018,Shuri,
Black Panther ,2018,Okoye,
Avengers: Infinity War ,2018,Iron Man,Tony Stark
Avengers: Infinity War ,2018,Captain America,Steve Rogers
Avengers: Infinity War ,2018,Thor,
Avengers: Infinity War ,2018,Black Widow,Natasha Romanoff
Avengers: Infinity War ,2018,Thanos,
Marvel's The Avengers ,2012,Iron Man,Tony Stark
Marvel's The Avengers ,2012,Captain America,Steve Rogers
Marvel's The Avengers ,2012,Thor,
Marvel's The Avengers ,2012,Hulk,Bruce Banner
Marvel's The Avengers ,2012,Black Widow,Natasha Romanoff
Marvel's The Avengers ,2012,Hawkeye,Clint Barton
Marvel's The Avengers ,2012,Loki,
Incredibles 2 ,2018,Mr. Incredible,Bob Parr
Incredibles 2 ,2018,Elastigirl,Helen Parr
Incredibles 2 ,2018,Violet Parr,
Incredibles 2 ,2018,Dash Parr,
Incredibles 2 ,2018,Jack-Jack Parr,
The Dark Knight ,2008,Batman,Bruce Wayne
The Dark Knight ,2008,The Joker,
The Dark Knight ,2008,Harvey Dent,Two-Face
Avengers: Age of Ultron ,2015,Iron Man,Tony Stark
Avengers: Age of Ultron ,2015,Captain America,Steve Rogers
Avengers: Age of Ultron ,2015,Thor,
Avengers: Age of Ultron ,2015,Hulk,Bruce Banner
Avengers: Age of Ultron ,2015,Black Widow,Natasha Romanoff
Avengers: Age of Ultron ,2015,Hawkeye,Clint Barton
Avengers: Age of Ultron ,2015,Ultron,
The Dark Knight Rises ,2012,Batman,Bruce Wayne
The Dark Knight Rises ,2012,Catwoman,Selina Kyle
The Dark Knight Rises ,2012,Bane,
Wonder Woman ,2017,Wonder Woman,Diana Prince
Wonder Woman ,2017,Steve Trevor,
Wonder Woman ,2017,Ares,
Iron Man 3 ,2013,Iron Man,Tony Stark
Iron Man 3 ,2013,Pepper Potts,
Iron Man 3 ,2013,The Mandarin,
Iron Man 3 ,2013,War Machine,"James ""Rhodey"" Rhodes"
Captain America: Civil War ,2016,Captain America,Steve Rogers
Captain America: Civil War ,2016,Iron Man,Tony Stark
Captain America: Civil War ,2016,Black Widow,Natasha Romanoff
Captain America: Civil War ,2016,Winter Soldier,Bucky Barnes
Captain America: Civil War ,2016,Black Panther,T'Challa
Captain America: Civil War ,2016,Helmut Zemo,
Spider-Man ,2002,Spider-Man,Peter Parker
Spider-Man ,2002,Green Goblin,Norman Osborn
Spider-Man ,2002,Mary Jane Watson,
Spider-Man ,2002,Uncle Ben,
Guardians of the Galaxy Vol. 2 ,2017,Star-Lord,Peter Quill
Guardians of the Galaxy Vol. 2 ,2017,Gamora,
Guardians of the Galaxy Vol. 2 ,2017,Drax the Destroyer,
Guardians of the Galaxy Vol. 2 ,2017,Rocket,
Guardians of the Galaxy Vol. 2 ,2017,Baby Groot,
Guardians of the Galaxy Vol. 2 ,2017,Yondu,
Spider-Man 2 ,2004,Spider-Man,Peter Parker
Spider-Man 2 ,2004,Doctor Octopus,Dr. Otto Octavius
Spider-Man 2 ,2004,Mary Jane Watson,
Spider-Man 2 ,2004,Aunt May,
Deadpool ,2016,Deadpool,Wade Wilson
Deadpool ,2016,Colossus,
Deadpool ,2016,Negasonic Teenage Warhead,
Deadpool ,2016,Vanessa Carlysle,
Spider-Man 3 ,2007,Spider-Man,Peter Parker
Spider-Man 3 ,2007,Venom,Eddie Brock
Spider-Man 3 ,2007,Sandman,Flint Marko
Spider-Man 3 ,2007,Mary Jane Watson,
Spider-Man 3 ,2007,Harry Osborn,New Goblin
Spider-Man: Homecoming ,2017,Spider-Man,Peter Parker
Spider-Man: Homecoming ,2017,Iron Man,Tony Stark
Spider-Man: Homecoming ,2017,Vulture,Adrian Toomes
Spider-Man: Homecoming ,2017,Ned Leeds,
Guardians of the Galaxy ,2014,Star-Lord,Peter Quill
Guardians of the Galaxy ,2014,Gamora,
Guardians of the Galaxy ,2014,Drax the Destroyer,
Guardians of the Galaxy ,2014,Rocket,
Guardians of the Galaxy ,2014,Groot,
Batman v Superman: Dawn of Justice ,2016,Superman,Clark Kent
Batman v Superman: Dawn of Justice ,2016,Batman,Bruce Wayne
Batman v Superman: Dawn of Justice ,2016,Wonder Woman,Diana Prince
Batman v Superman: Dawn of Justice ,2016,Lex Luthor,
Suicide Squad ,2016,Deadshot,Floyd Lawton
Suicide Squad ,2016,Harley Quinn,Harleen Quinzel
Suicide Squad ,2016,Joker,
Suicide Squad ,2016,Amanda Waller,
Iron Man ,2008,Iron Man,Tony Stark
Iron Man ,2008,Pepper Potts,
Iron Man ,2008,Obadiah Stane,
Deadpool 2 ,2018,Deadpool,Wade Wilson
Deadpool 2 ,2018,Cable,Nathan Summers
Deadpool 2 ,2018,Domino,Neena Thurman
Deadpool 2 ,2018,Colossus,
Deadpool 2 ,2018,Negasonic Teenage Warhead,
Thor: Ragnarok ,2017,Thor,
Thor: Ragnarok ,2017,Hulk,Bruce Banner
Thor: Ragnarok ,2017,Valkyrie,Scrapper 142
